account,amount,amount unpaid,currency,title,note,date,income,type,category name,subcategory name,color,icon,emoji,budget,objective,extra
Axis bank,-1700,,INR,Car rent,,2026-08-01 21:40:48.000,false,default,Transit,Car expense,0XFFFFEB3B,tram,,,,repeat every 1 month
Axis bank,-1200,,INR,Kavya money,Gold intrest,2026-08-01 21:39:34.000,false,default,Household,Home expenses,0XFF4CAF50,cottage,,,,repeat every 1 month
Axis bank,-15000,,INR,Mom money,,2026-08-01 21:38:24.000,false,default,Household,Home expenses,0XFF4CAF50,cottage,,,,repeat every 1 month
Union bank,1000,,INR,Tra,"Transferred Balance
Axis bank → Union bank",2026-08-01 00:35:31.000,true,default,Balance Correction,,0XFF607D8B,charts,,,,
Axis bank,-1000,,INR,Tra,"Transferred Balance
Axis bank → Union bank",2026-08-01 00:35:30.000,false,default,Balance Correction,,0XFF607D8B,charts,,,,
Sbi bank,1000,,INR,Sbi bank Transfer In,"Transferred Balance
Axis bank → Sbi bank",2026-08-01 00:30:31.000,true,default,Balance Correction,,0XFF607D8B,charts,,,,
Axis bank,-1000,,INR,Axis bank Transfer Out,"Transferred Balance
Axis bank → Sbi bank",2026-08-01 00:30:30.000,false,default,Balance Correction,,0XFF607D8B,charts,,,,
Icici bank,120000,,INR,Icici bank Transfer In,"Transferred Balance
Axis bank → Icici bank",2026-08-01 00:15:31.000,true,default,Balance Correction,,0XFF607D8B,charts,,,,repeat every 1 month
Axis bank,-120000,,INR,Axis bank Transfer Out,"Transferred Balance
Axis bank → Icici bank",2026-08-01 00:15:30.000,false,default,Balance Correction,,0XFF607D8B,charts,,,,repeat every 1 month
Axis bank,179344,,INR,,,2026-08-01 00:01:42.000,true,default,Income,Salary,0XFF9575CD,coin,,,,repeat every 1 month
Sbi bank,200.3,,INR,,,2026-07-31 21:34:32.000,true,default,Income,Savings,0XFF9575CD,coin,,,,repeat every 1 month
Union bank,27.36,,INR,,,2026-07-31 21:33:58.000,true,default,Income,Savings,0XFF9575CD,coin,,,,repeat every 1 month
Icici bank,114.29,,INR,,,2026-07-31 21:33:34.000,true,default,Income,Savings,0XFF9575CD,coin,,,,repeat every 1 month
Tata infinity card,-32,,INR,Metro mas,,2026-07-31 18:17:14.000,false,default,Transit,Train,0XFFFFEB3B,tram,,,,repeat every 1 month
Cash,150,,INR,,,2026-07-31 07:06:45.000,true,default,Income,Savings,0XFF9575CD,coin,,,,repeat every 1 month
